"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,13.010577,NaN,"ms/op",10000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,25.777249,NaN,"ms/op",20000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,20.172273,NaN,"ms/op",30000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,30.051206,NaN,"ms/op",40000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,37.933813,NaN,"ms/op",50000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,27.877577,NaN,"ms/op",60000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,31.801230,NaN,"ms/op",70000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,48.487756,NaN,"ms/op",80000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,58.663093,NaN,"ms/op",90000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,48.638158,NaN,"ms/op",100000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,85.837761,NaN,"ms/op",110000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,83.823158,NaN,"ms/op",120000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,94.745435,NaN,"ms/op",130000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,86.779005,NaN,"ms/op",140000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,201.278560,NaN,"ms/op",150000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,94.965237,NaN,"ms/op",160000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,108.325055,NaN,"ms/op",170000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,102.042752,NaN,"ms/op",180000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,121.376385,NaN,"ms/op",190000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,130.967073,NaN,"ms/op",200000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,139.978650,NaN,"ms/op",210000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,331.273008,NaN,"ms/op",220000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,326.841335,NaN,"ms/op",230000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,151.986244,NaN,"ms/op",240000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,152.517353,NaN,"ms/op",250000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,148.319277,NaN,"ms/op",260000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,179.567842,NaN,"ms/op",270000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,199.753349,NaN,"ms/op",280000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,172.910140,NaN,"ms/op",290000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,192.259701,NaN,"ms/op",300000
"com.fiit.dsa.tree.test.AVLTreeTest.delete","ss",1,1,198.240519,NaN,"ms/op",310000
