"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"com.fiit.dsa.tree.test.AVLTreeTest.insert_random","ss",1,1,3.675947,NaN,"ms/op",10000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_random","ss",1,1,7.776399,NaN,"ms/op",20000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_random","ss",1,1,19.745552,NaN,"ms/op",30000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_random","ss",1,1,35.387253,NaN,"ms/op",40000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_random","ss",1,1,16.501711,NaN,"ms/op",50000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_random","ss",1,1,33.658330,NaN,"ms/op",60000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_random","ss",1,1,28.955170,NaN,"ms/op",70000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_random","ss",1,1,28.766268,NaN,"ms/op",80000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_random","ss",1,1,52.987378,NaN,"ms/op",90000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_random","ss",1,1,69.050483,NaN,"ms/op",100000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_random","ss",1,1,75.061260,NaN,"ms/op",110000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_random","ss",1,1,45.074577,NaN,"ms/op",120000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_random","ss",1,1,56.655725,NaN,"ms/op",130000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_random","ss",1,1,56.323620,NaN,"ms/op",140000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_random","ss",1,1,80.636841,NaN,"ms/op",150000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_random","ss",1,1,82.180261,NaN,"ms/op",160000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_random","ss",1,1,100.746201,NaN,"ms/op",170000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_random","ss",1,1,91.874186,NaN,"ms/op",180000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_random","ss",1,1,89.027449,NaN,"ms/op",190000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_random","ss",1,1,100.188193,NaN,"ms/op",200000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_random","ss",1,1,106.234671,NaN,"ms/op",210000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_random","ss",1,1,112.549253,NaN,"ms/op",220000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_random","ss",1,1,117.267655,NaN,"ms/op",230000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_random","ss",1,1,124.069530,NaN,"ms/op",240000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_random","ss",1,1,126.922386,NaN,"ms/op",250000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_random","ss",1,1,165.111289,NaN,"ms/op",260000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_random","ss",1,1,145.593415,NaN,"ms/op",270000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_random","ss",1,1,164.076801,NaN,"ms/op",280000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_random","ss",1,1,158.140371,NaN,"ms/op",290000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_random","ss",1,1,160.377379,NaN,"ms/op",300000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_random","ss",1,1,170.583389,NaN,"ms/op",310000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_random","ss",1,1,196.349719,NaN,"ms/op",320000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_random","ss",1,1,172.167310,NaN,"ms/op",330000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_random","ss",1,1,175.849756,NaN,"ms/op",340000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_random","ss",1,1,193.383759,NaN,"ms/op",350000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_random","ss",1,1,268.449283,NaN,"ms/op",360000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_random","ss",1,1,207.973586,NaN,"ms/op",370000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_random","ss",1,1,202.376403,NaN,"ms/op",380000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_random","ss",1,1,186.385965,NaN,"ms/op",390000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_random","ss",1,1,193.945392,NaN,"ms/op",400000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_random","ss",1,1,225.400184,NaN,"ms/op",410000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_random","ss",1,1,216.041181,NaN,"ms/op",420000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_random","ss",1,1,251.640431,NaN,"ms/op",430000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_random","ss",1,1,230.835159,NaN,"ms/op",440000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_random","ss",1,1,302.561821,NaN,"ms/op",450000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_random","ss",1,1,351.359562,NaN,"ms/op",460000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_random","ss",1,1,315.594512,NaN,"ms/op",470000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_random","ss",1,1,326.055107,NaN,"ms/op",480000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_random","ss",1,1,279.449984,NaN,"ms/op",490000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_random","ss",1,1,271.679478,NaN,"ms/op",500000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_random","ss",1,1,290.273410,NaN,"ms/op",510000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_random","ss",1,1,294.260866,NaN,"ms/op",520000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_random","ss",1,1,309.337514,NaN,"ms/op",530000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_random","ss",1,1,310.966180,NaN,"ms/op",540000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_random","ss",1,1,337.037025,NaN,"ms/op",550000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_random","ss",1,1,321.641707,NaN,"ms/op",560000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_random","ss",1,1,360.942300,NaN,"ms/op",570000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_random","ss",1,1,348.279998,NaN,"ms/op",580000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_random","ss",1,1,352.305358,NaN,"ms/op",590000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_random","ss",1,1,353.798316,NaN,"ms/op",600000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_random","ss",1,1,429.156395,NaN,"ms/op",610000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_random","ss",1,1,392.766731,NaN,"ms/op",620000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_random","ss",1,1,363.835899,NaN,"ms/op",630000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_random","ss",1,1,398.799736,NaN,"ms/op",640000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_random","ss",1,1,375.016187,NaN,"ms/op",650000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_random","ss",1,1,396.924069,NaN,"ms/op",660000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_random","ss",1,1,427.520643,NaN,"ms/op",670000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_random","ss",1,1,415.117937,NaN,"ms/op",680000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_random","ss",1,1,385.000424,NaN,"ms/op",690000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_random","ss",1,1,497.502659,NaN,"ms/op",700000
