"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,1.518733,NaN,"ms/op",5000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,3.449975,NaN,"ms/op",10000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,7.603064,NaN,"ms/op",15000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,6.575142,NaN,"ms/op",20000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,5.917528,NaN,"ms/op",25000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,23.432007,NaN,"ms/op",30000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,13.322381,NaN,"ms/op",35000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,8.521279,NaN,"ms/op",40000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,18.218784,NaN,"ms/op",45000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,9.477300,NaN,"ms/op",50000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,9.156893,NaN,"ms/op",55000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,15.725631,NaN,"ms/op",60000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,6.796843,NaN,"ms/op",65000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,10.213515,NaN,"ms/op",70000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,26.687262,NaN,"ms/op",75000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,26.640461,NaN,"ms/op",80000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,28.044591,NaN,"ms/op",85000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,25.079343,NaN,"ms/op",90000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,9.285601,NaN,"ms/op",95000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,10.008416,NaN,"ms/op",100000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,25.881360,NaN,"ms/op",105000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,11.315345,NaN,"ms/op",110000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,11.169142,NaN,"ms/op",115000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,11.698753,NaN,"ms/op",120000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,11.611051,NaN,"ms/op",125000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,34.343436,NaN,"ms/op",130000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,35.704663,NaN,"ms/op",135000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,45.166065,NaN,"ms/op",140000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,31.257568,NaN,"ms/op",145000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,32.929204,NaN,"ms/op",150000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,17.667978,NaN,"ms/op",155000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,33.680120,NaN,"ms/op",160000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,38.419521,NaN,"ms/op",165000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,32.309490,NaN,"ms/op",170000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,32.225497,NaN,"ms/op",175000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,35.323764,NaN,"ms/op",180000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,36.486289,NaN,"ms/op",185000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,41.252792,NaN,"ms/op",190000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,41.310593,NaN,"ms/op",195000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,41.157390,NaN,"ms/op",200000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,24.012119,NaN,"ms/op",205000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,43.469140,NaN,"ms/op",210000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,47.910336,NaN,"ms/op",215000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,46.200899,NaN,"ms/op",220000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,43.494341,NaN,"ms/op",225000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,48.427147,NaN,"ms/op",230000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,47.283822,NaN,"ms/op",235000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,59.771292,NaN,"ms/op",240000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,50.480895,NaN,"ms/op",245000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,44.552267,NaN,"ms/op",250000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,52.289534,NaN,"ms/op",255000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,48.033542,NaN,"ms/op",260000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,51.812424,NaN,"ms/op",265000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,45.608389,NaN,"ms/op",270000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,45.241081,NaN,"ms/op",275000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,46.705312,NaN,"ms/op",280000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,43.392041,NaN,"ms/op",285000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,47.988040,NaN,"ms/op",290000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,47.904238,NaN,"ms/op",295000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,48.320447,NaN,"ms/op",300000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,48.527551,NaN,"ms/op",305000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,54.296174,NaN,"ms/op",310000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,49.846578,NaN,"ms/op",315000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,53.511757,NaN,"ms/op",320000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,75.020023,NaN,"ms/op",325000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,69.901611,NaN,"ms/op",330000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,70.075516,NaN,"ms/op",335000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,69.770410,NaN,"ms/op",340000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,49.835979,NaN,"ms/op",345000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,52.455036,NaN,"ms/op",350000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,53.557059,NaN,"ms/op",355000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,50.347090,NaN,"ms/op",360000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,124.003268,NaN,"ms/op",365000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,74.279598,NaN,"ms/op",370000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,65.305805,NaN,"ms/op",375000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,63.028956,NaN,"ms/op",380000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,63.719474,NaN,"ms/op",385000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,90.931162,NaN,"ms/op",390000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,61.427325,NaN,"ms/op",395000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,82.496679,NaN,"ms/op",400000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,61.360723,NaN,"ms/op",405000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,67.153251,NaN,"ms/op",410000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,64.660696,NaN,"ms/op",415000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,66.784742,NaN,"ms/op",420000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,70.264317,NaN,"ms/op",425000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,69.804008,NaN,"ms/op",430000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,77.537767,NaN,"ms/op",435000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,75.480622,NaN,"ms/op",440000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,95.357549,NaN,"ms/op",445000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,45.465978,NaN,"ms/op",450000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,50.649989,NaN,"ms/op",455000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,62.843758,NaN,"ms/op",460000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,82.018573,NaN,"ms/op",465000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,53.319452,NaN,"ms/op",470000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,57.174936,NaN,"ms/op",475000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,62.212844,NaN,"ms/op",480000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,51.027102,NaN,"ms/op",485000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,59.070876,NaN,"ms/op",490000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,84.990235,NaN,"ms/op",495000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,90.821264,NaN,"ms/op",500000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,92.819108,NaN,"ms/op",505000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,85.531850,NaN,"ms/op",510000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,89.357633,NaN,"ms/op",515000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,83.780611,NaN,"ms/op",520000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,90.188649,NaN,"ms/op",525000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,87.713396,NaN,"ms/op",530000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,85.822555,NaN,"ms/op",535000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,83.109583,NaN,"ms/op",540000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,83.588594,NaN,"ms/op",545000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,107.630010,NaN,"ms/op",550000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,79.396704,NaN,"ms/op",555000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,87.081782,NaN,"ms/op",560000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,115.559198,NaN,"ms/op",565000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,123.622072,NaN,"ms/op",570000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,78.986708,NaN,"ms/op",575000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,92.210393,NaN,"ms/op",580000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,94.317738,NaN,"ms/op",585000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,92.407397,NaN,"ms/op",590000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,85.097324,NaN,"ms/op",595000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,86.906863,NaN,"ms/op",600000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,88.672100,NaN,"ms/op",605000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,83.719795,NaN,"ms/op",610000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,99.451045,NaN,"ms/op",615000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,94.015129,NaN,"ms/op",620000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,117.201629,NaN,"ms/op",625000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,96.578585,NaN,"ms/op",630000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,88.120002,NaN,"ms/op",635000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,98.301122,NaN,"ms/op",640000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,88.775019,NaN,"ms/op",645000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,90.728661,NaN,"ms/op",650000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,85.803254,NaN,"ms/op",655000
