"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,0.497411,NaN,"ms/op",5000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,0.755216,NaN,"ms/op",10000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,1.300928,NaN,"ms/op",15000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,2.138446,NaN,"ms/op",20000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,1.572134,NaN,"ms/op",25000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,2.450953,NaN,"ms/op",30000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,2.771060,NaN,"ms/op",35000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,2.415952,NaN,"ms/op",40000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,3.445075,NaN,"ms/op",45000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,3.750677,NaN,"ms/op",50000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,4.306089,NaN,"ms/op",55000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,3.787178,NaN,"ms/op",60000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,3.811979,NaN,"ms/op",65000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,3.873080,NaN,"ms/op",70000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,5.265208,NaN,"ms/op",75000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,4.548294,NaN,"ms/op",80000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,5.187407,NaN,"ms/op",85000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,4.486798,NaN,"ms/op",90000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,4.506998,NaN,"ms/op",95000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,4.142190,NaN,"ms/op",100000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,6.171534,NaN,"ms/op",105000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,5.655923,NaN,"ms/op",110000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,4.566800,NaN,"ms/op",115000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,4.833505,NaN,"ms/op",120000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,5.301315,NaN,"ms/op",125000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,4.274793,NaN,"ms/op",130000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,4.260892,NaN,"ms/op",135000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,4.496798,NaN,"ms/op",140000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,4.589299,NaN,"ms/op",145000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,4.539398,NaN,"ms/op",150000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,4.753803,NaN,"ms/op",155000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,4.524498,NaN,"ms/op",160000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,4.741002,NaN,"ms/op",165000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,4.833204,NaN,"ms/op",170000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,4.830305,NaN,"ms/op",175000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,5.004309,NaN,"ms/op",180000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,5.018408,NaN,"ms/op",185000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,5.103611,NaN,"ms/op",190000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,5.003908,NaN,"ms/op",195000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,5.266113,NaN,"ms/op",200000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,5.290214,NaN,"ms/op",205000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,5.367616,NaN,"ms/op",210000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,5.225013,NaN,"ms/op",215000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,5.212698,NaN,"ms/op",220000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,5.654005,NaN,"ms/op",225000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,5.158896,NaN,"ms/op",230000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,5.148696,NaN,"ms/op",235000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,5.749925,NaN,"ms/op",240000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,5.671023,NaN,"ms/op",245000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,5.140011,NaN,"ms/op",250000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,5.908902,NaN,"ms/op",255000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,5.641997,NaN,"ms/op",260000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,5.404693,NaN,"ms/op",265000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,5.519194,NaN,"ms/op",270000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,6.350337,NaN,"ms/op",275000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,5.559521,NaN,"ms/op",280000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,5.798326,NaN,"ms/op",285000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,5.880928,NaN,"ms/op",290000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,6.466141,NaN,"ms/op",295000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,6.623045,NaN,"ms/op",300000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,6.455941,NaN,"ms/op",305000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,6.661545,NaN,"ms/op",310000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,5.756723,NaN,"ms/op",315000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,6.664243,NaN,"ms/op",320000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,6.785045,NaN,"ms/op",325000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,6.801946,NaN,"ms/op",330000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,5.931227,NaN,"ms/op",335000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,6.238834,NaN,"ms/op",340000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,8.408680,NaN,"ms/op",345000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,5.932427,NaN,"ms/op",350000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,6.067430,NaN,"ms/op",355000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,7.336358,NaN,"ms/op",360000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,7.373958,NaN,"ms/op",365000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,6.678244,NaN,"ms/op",370000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,6.224335,NaN,"ms/op",375000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,6.302837,NaN,"ms/op",380000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,6.141133,NaN,"ms/op",385000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,6.864849,NaN,"ms/op",390000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,8.048774,NaN,"ms/op",395000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,6.396339,NaN,"ms/op",400000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,7.913972,NaN,"ms/op",405000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,8.036574,NaN,"ms/op",410000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,7.905972,NaN,"ms/op",415000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,8.135177,NaN,"ms/op",420000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,7.957874,NaN,"ms/op",425000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,7.507963,NaN,"ms/op",430000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,8.116677,NaN,"ms/op",435000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,8.246679,NaN,"ms/op",440000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,8.469187,NaN,"ms/op",445000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,6.665148,NaN,"ms/op",450000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,8.430387,NaN,"ms/op",455000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,10.946942,NaN,"ms/op",460000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,8.532689,NaN,"ms/op",465000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,8.657488,NaN,"ms/op",470000
"com.fiit.dsa.tree.test.AVLTreeTest.search","ss",1,1,8.511784,NaN,"ms/op",475000
