"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.put","ss",1,1,1.937886,NaN,"ms/op",100
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.put","ss",1,1,5.357161,NaN,"ms/op",1000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.put","ss",1,1,34.180263,NaN,"ms/op",10000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.put","ss",1,1,36.444547,NaN,"ms/op",50000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.put","ss",1,1,76.952867,NaN,"ms/op",100000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.put","ss",1,1,165.023255,NaN,"ms/op",200000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.put","ss",1,1,215.712003,NaN,"ms/op",300000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.put","ss",1,1,300.726014,NaN,"ms/op",400000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.put","ss",1,1,392.566118,NaN,"ms/op",500000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.put","ss",1,1,493.008046,NaN,"ms/op",600000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.put","ss",1,1,555.294286,NaN,"ms/op",700000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.put","ss",1,1,647.032101,NaN,"ms/op",800000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.put","ss",1,1,709.154728,NaN,"ms/op",900000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.put","ss",1,1,777.333569,NaN,"ms/op",1000000
