"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,12.169843,NaN,"ms/op",10000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,19.503774,NaN,"ms/op",20000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,28.852902,NaN,"ms/op",30000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,43.323953,NaN,"ms/op",40000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,33.234908,NaN,"ms/op",50000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,50.872537,NaN,"ms/op",60000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,54.443111,NaN,"ms/op",70000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,62.076892,NaN,"ms/op",80000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,90.138929,NaN,"ms/op",90000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,102.132272,NaN,"ms/op",100000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,106.965956,NaN,"ms/op",110000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,102.564792,NaN,"ms/op",120000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,109.170884,NaN,"ms/op",130000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,125.709067,NaN,"ms/op",140000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,150.884475,NaN,"ms/op",150000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,175.035034,NaN,"ms/op",160000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,146.320212,NaN,"ms/op",170000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,188.750249,NaN,"ms/op",180000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,194.907064,NaN,"ms/op",190000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,254.760141,NaN,"ms/op",200000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,219.025900,NaN,"ms/op",210000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,255.669872,NaN,"ms/op",220000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,238.241788,NaN,"ms/op",230000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,252.429860,NaN,"ms/op",240000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,263.385231,NaN,"ms/op",250000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,318.594404,NaN,"ms/op",260000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,334.457554,NaN,"ms/op",270000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,313.995721,NaN,"ms/op",280000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,333.661393,NaN,"ms/op",290000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,318.155064,NaN,"ms/op",300000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,355.919496,NaN,"ms/op",310000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,339.567995,NaN,"ms/op",320000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,376.353821,NaN,"ms/op",330000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,415.285408,NaN,"ms/op",340000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,400.644959,NaN,"ms/op",350000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,382.162353,NaN,"ms/op",360000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,417.932828,NaN,"ms/op",370000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,479.832280,NaN,"ms/op",380000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,491.217388,NaN,"ms/op",390000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,579.384926,NaN,"ms/op",400000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,502.133198,NaN,"ms/op",410000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,512.811494,NaN,"ms/op",420000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,505.779601,NaN,"ms/op",430000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,497.700823,NaN,"ms/op",440000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,522.685542,NaN,"ms/op",450000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,663.680043,NaN,"ms/op",460000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,636.630925,NaN,"ms/op",470000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,595.387264,NaN,"ms/op",480000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,585.145222,NaN,"ms/op",490000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,609.303600,NaN,"ms/op",500000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,687.540666,NaN,"ms/op",510000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,667.800625,NaN,"ms/op",520000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,713.610468,NaN,"ms/op",530000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,766.054618,NaN,"ms/op",540000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,682.606523,NaN,"ms/op",550000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,753.051803,NaN,"ms/op",560000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,844.850278,NaN,"ms/op",570000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,710.536116,NaN,"ms/op",580000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,829.028020,NaN,"ms/op",590000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,824.423024,NaN,"ms/op",600000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,856.667805,NaN,"ms/op",610000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,762.152211,NaN,"ms/op",620000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,873.862173,NaN,"ms/op",630000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,956.610831,NaN,"ms/op",640000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,949.746683,NaN,"ms/op",650000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,963.461621,NaN,"ms/op",660000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,976.757127,NaN,"ms/op",670000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,1010.524374,NaN,"ms/op",680000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,928.695813,NaN,"ms/op",690000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,888.433898,NaN,"ms/op",700000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,1027.797316,NaN,"ms/op",710000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,976.706994,NaN,"ms/op",720000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,997.705997,NaN,"ms/op",730000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,1072.258736,NaN,"ms/op",740000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,1060.230523,NaN,"ms/op",750000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,1136.315519,NaN,"ms/op",760000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,1070.852871,NaN,"ms/op",770000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,1136.952209,NaN,"ms/op",780000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,1148.587020,NaN,"ms/op",790000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,1238.583356,NaN,"ms/op",800000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,1169.205237,NaN,"ms/op",810000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,1237.937098,NaN,"ms/op",820000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,1310.420178,NaN,"ms/op",830000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,1201.653995,NaN,"ms/op",840000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,1301.611378,NaN,"ms/op",850000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,1355.916046,NaN,"ms/op",860000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,1411.844280,NaN,"ms/op",870000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,1433.573317,NaN,"ms/op",880000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,1312.547173,NaN,"ms/op",890000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,1375.307322,NaN,"ms/op",900000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,1408.268835,NaN,"ms/op",910000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,1443.792364,NaN,"ms/op",920000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,1431.417150,NaN,"ms/op",930000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,1407.362081,NaN,"ms/op",940000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,1468.355526,NaN,"ms/op",950000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,1520.604878,NaN,"ms/op",960000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_random","ss",1,1,1455.088300,NaN,"ms/op",970000
