"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,1.775726,NaN,"ms/op",10000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,3.120147,NaN,"ms/op",20000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,3.005645,NaN,"ms/op",30000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,12.333385,NaN,"ms/op",40000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,2.541047,NaN,"ms/op",50000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,3.138357,NaN,"ms/op",60000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,3.673567,NaN,"ms/op",70000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,3.415462,NaN,"ms/op",80000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,23.930336,NaN,"ms/op",90000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,19.419453,NaN,"ms/op",100000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,21.354189,NaN,"ms/op",110000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,6.883325,NaN,"ms/op",120000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,5.496000,NaN,"ms/op",130000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,6.572820,NaN,"ms/op",140000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,47.287360,NaN,"ms/op",150000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,32.072283,NaN,"ms/op",160000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,6.909820,NaN,"ms/op",170000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,7.442629,NaN,"ms/op",180000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,43.977362,NaN,"ms/op",190000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,40.359799,NaN,"ms/op",200000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,48.786245,NaN,"ms/op",210000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,48.729020,NaN,"ms/op",220000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,64.000177,NaN,"ms/op",230000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,54.515417,NaN,"ms/op",240000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,50.042843,NaN,"ms/op",250000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,51.274363,NaN,"ms/op",260000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,44.709391,NaN,"ms/op",270000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,68.719216,NaN,"ms/op",280000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,54.454063,NaN,"ms/op",290000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,67.439593,NaN,"ms/op",300000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,83.691533,NaN,"ms/op",310000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,78.544982,NaN,"ms/op",320000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,65.862354,NaN,"ms/op",330000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,85.595800,NaN,"ms/op",340000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,64.466588,NaN,"ms/op",350000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,55.117030,NaN,"ms/op",360000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,50.401051,NaN,"ms/op",370000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,54.882327,NaN,"ms/op",380000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,93.608482,NaN,"ms/op",390000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,78.358656,NaN,"ms/op",400000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,78.378718,NaN,"ms/op",410000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,66.961028,NaN,"ms/op",420000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,51.639170,NaN,"ms/op",430000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,85.775945,NaN,"ms/op",440000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,77.360240,NaN,"ms/op",450000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,119.940879,NaN,"ms/op",460000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,113.160560,NaN,"ms/op",470000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,100.681147,NaN,"ms/op",480000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,108.857073,NaN,"ms/op",490000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,88.440986,NaN,"ms/op",500000
