"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,0.790823,NaN,"ms/op",10000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,1.760653,NaN,"ms/op",20000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,2.367970,NaN,"ms/op",30000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,2.315469,NaN,"ms/op",40000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,2.163927,NaN,"ms/op",50000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,2.879801,NaN,"ms/op",60000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,2.948509,NaN,"ms/op",70000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,2.980811,NaN,"ms/op",80000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,3.555831,NaN,"ms/op",90000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,3.307423,NaN,"ms/op",100000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,3.362125,NaN,"ms/op",110000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,3.106815,NaN,"ms/op",120000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,3.481829,NaN,"ms/op",130000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,4.088951,NaN,"ms/op",140000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,4.083051,NaN,"ms/op",150000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,3.739039,NaN,"ms/op",160000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,3.570832,NaN,"ms/op",170000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,4.412764,NaN,"ms/op",180000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,4.122152,NaN,"ms/op",190000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,4.744277,NaN,"ms/op",200000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,4.808779,NaN,"ms/op",210000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,4.510668,NaN,"ms/op",220000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,4.172656,NaN,"ms/op",230000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,4.506367,NaN,"ms/op",240000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,4.708994,NaN,"ms/op",250000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,4.606990,NaN,"ms/op",260000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,4.612190,NaN,"ms/op",270000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,4.690976,NaN,"ms/op",280000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,6.080127,NaN,"ms/op",290000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,5.213989,NaN,"ms/op",300000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,6.071420,NaN,"ms/op",310000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,4.965480,NaN,"ms/op",320000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,6.305728,NaN,"ms/op",330000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,6.411222,NaN,"ms/op",340000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,6.590629,NaN,"ms/op",350000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,6.813236,NaN,"ms/op",360000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,5.345798,NaN,"ms/op",370000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,6.969856,NaN,"ms/op",380000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,5.462801,NaN,"ms/op",390000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,5.626806,NaN,"ms/op",400000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,5.668653,NaN,"ms/op",410000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,7.076492,NaN,"ms/op",420000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,7.280668,NaN,"ms/op",430000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,5.957471,NaN,"ms/op",440000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,6.037474,NaN,"ms/op",450000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,6.013315,NaN,"ms/op",460000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,6.053752,NaN,"ms/op",470000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,6.158155,NaN,"ms/op",480000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,6.942744,NaN,"ms/op",490000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,5.934304,NaN,"ms/op",500000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,5.956105,NaN,"ms/op",510000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,6.929338,NaN,"ms/op",520000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,6.130987,NaN,"ms/op",530000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,7.030614,NaN,"ms/op",540000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,5.985703,NaN,"ms/op",550000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,7.083101,NaN,"ms/op",560000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,5.984799,NaN,"ms/op",570000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,7.017928,NaN,"ms/op",580000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,7.077030,NaN,"ms/op",590000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,7.111531,NaN,"ms/op",600000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,6.261133,NaN,"ms/op",610000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,7.513242,NaN,"ms/op",620000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,5.906258,NaN,"ms/op",630000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,5.895482,NaN,"ms/op",640000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,7.021193,NaN,"ms/op",650000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,6.947311,NaN,"ms/op",660000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,6.085866,NaN,"ms/op",670000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,6.868587,NaN,"ms/op",680000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,6.883698,NaN,"ms/op",690000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,5.921770,NaN,"ms/op",700000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,11.228647,NaN,"ms/op",710000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,8.445048,NaN,"ms/op",720000
