"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,3.597105,NaN,"ms/op",10000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,8.105536,NaN,"ms/op",20000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,5.635764,NaN,"ms/op",30000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,21.346323,NaN,"ms/op",40000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,19.624372,NaN,"ms/op",50000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,11.765243,NaN,"ms/op",60000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,18.390040,NaN,"ms/op",70000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,8.282698,NaN,"ms/op",80000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,40.988179,NaN,"ms/op",90000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,35.603051,NaN,"ms/op",100000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,39.274613,NaN,"ms/op",110000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,11.867137,NaN,"ms/op",120000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,13.253976,NaN,"ms/op",130000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,13.029870,NaN,"ms/op",140000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,28.263801,NaN,"ms/op",150000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,32.465940,NaN,"ms/op",160000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,27.338838,NaN,"ms/op",170000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,33.136153,NaN,"ms/op",180000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,41.671121,NaN,"ms/op",190000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,37.395434,NaN,"ms/op",200000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,38.923076,NaN,"ms/op",210000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,39.323887,NaN,"ms/op",220000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,39.961605,NaN,"ms/op",230000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,40.794012,NaN,"ms/op",240000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,43.350382,NaN,"ms/op",250000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,44.753620,NaN,"ms/op",260000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,45.270034,NaN,"ms/op",270000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,54.635590,NaN,"ms/op",280000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,58.050382,NaN,"ms/op",290000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,59.031910,NaN,"ms/op",300000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,67.305787,NaN,"ms/op",310000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,41.385236,NaN,"ms/op",320000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,59.090980,NaN,"ms/op",330000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,70.731773,NaN,"ms/op",340000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,55.578492,NaN,"ms/op",350000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,55.201100,NaN,"ms/op",360000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,87.065265,NaN,"ms/op",370000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,64.185638,NaN,"ms/op",380000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,49.687045,NaN,"ms/op",390000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,52.766129,NaN,"ms/op",400000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,55.146193,NaN,"ms/op",410000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,57.256050,NaN,"ms/op",420000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,57.267562,NaN,"ms/op",430000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,81.201534,NaN,"ms/op",440000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,62.870465,NaN,"ms/op",450000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,73.885494,NaN,"ms/op",460000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,68.321444,NaN,"ms/op",470000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,68.602452,NaN,"ms/op",480000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,69.880032,NaN,"ms/op",490000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,71.329770,NaN,"ms/op",500000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,74.765360,NaN,"ms/op",510000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,77.321127,NaN,"ms/op",520000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,77.713437,NaN,"ms/op",530000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,91.554348,NaN,"ms/op",540000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,89.474704,NaN,"ms/op",550000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,91.684751,NaN,"ms/op",560000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,96.107126,NaN,"ms/op",570000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,98.040680,NaN,"ms/op",580000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,94.849113,NaN,"ms/op",590000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,102.257069,NaN,"ms/op",600000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,109.859931,NaN,"ms/op",610000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,106.602838,NaN,"ms/op",620000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,85.784722,NaN,"ms/op",630000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,89.166106,NaN,"ms/op",640000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,111.594161,NaN,"ms/op",650000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,91.049325,NaN,"ms/op",660000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,99.033494,NaN,"ms/op",670000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,95.292424,NaN,"ms/op",680000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,113.224753,NaN,"ms/op",690000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,97.239757,NaN,"ms/op",700000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,132.162403,NaN,"ms/op",710000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,130.020052,NaN,"ms/op",720000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,105.431401,NaN,"ms/op",730000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,134.134427,NaN,"ms/op",740000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,94.852692,NaN,"ms/op",750000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,103.219083,NaN,"ms/op",760000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,95.708723,NaN,"ms/op",770000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,110.622940,NaN,"ms/op",780000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,145.170276,NaN,"ms/op",790000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,136.808357,NaN,"ms/op",800000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,121.882729,NaN,"ms/op",810000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,165.069631,NaN,"ms/op",820000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,150.946445,NaN,"ms/op",830000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,134.368188,NaN,"ms/op",840000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,94.813954,NaN,"ms/op",850000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,112.314902,NaN,"ms/op",860000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,105.764359,NaN,"ms/op",870000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,160.447679,NaN,"ms/op",880000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,144.491410,NaN,"ms/op",890000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,143.781495,NaN,"ms/op",900000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,155.941639,NaN,"ms/op",910000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,159.355425,NaN,"ms/op",920000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,157.264480,NaN,"ms/op",930000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,151.307256,NaN,"ms/op",940000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,161.490165,NaN,"ms/op",950000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,167.845271,NaN,"ms/op",960000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,149.597479,NaN,"ms/op",970000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,157.305139,NaN,"ms/op",980000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,155.906769,NaN,"ms/op",990000
"com.fiit.dsa.tree.test.AVLTreeTest.insert_sorted","ss",1,1,155.603509,NaN,"ms/op",1000000
