"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,0.756215,NaN,"ms/op",1000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,0.884818,NaN,"ms/op",2000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,1.159223,NaN,"ms/op",3000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,1.552031,NaN,"ms/op",4000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,1.611632,NaN,"ms/op",5000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,1.437729,NaN,"ms/op",6000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,2.271146,NaN,"ms/op",7000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,2.524450,NaN,"ms/op",8000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,4.296086,NaN,"ms/op",9000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,3.980879,NaN,"ms/op",10000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,3.425268,NaN,"ms/op",11000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,7.517650,NaN,"ms/op",12000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,4.705279,NaN,"ms/op",13000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,40.501185,NaN,"ms/op",14000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,3.605361,NaN,"ms/op",15000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,3.511559,NaN,"ms/op",16000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,4.885783,NaN,"ms/op",17000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,4.184271,NaN,"ms/op",18000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,7.278423,NaN,"ms/op",19000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,5.125108,NaN,"ms/op",20000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,5.122608,NaN,"ms/op",21000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,7.447557,NaN,"ms/op",22000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,7.841555,NaN,"ms/op",23000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,5.489809,NaN,"ms/op",24000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,8.716572,NaN,"ms/op",25000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,6.693532,NaN,"ms/op",26000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,8.828574,NaN,"ms/op",27000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,7.014939,NaN,"ms/op",28000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,5.361106,NaN,"ms/op",29000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,6.228823,NaN,"ms/op",30000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,8.053859,NaN,"ms/op",31000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,7.077340,NaN,"ms/op",32000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,7.127882,NaN,"ms/op",33000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,6.837980,NaN,"ms/op",34000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,8.720301,NaN,"ms/op",35000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,7.737290,NaN,"ms/op",36000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,9.688191,NaN,"ms/op",37000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,9.210582,NaN,"ms/op",38000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,27.041134,NaN,"ms/op",39000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,20.601407,NaN,"ms/op",40000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,12.691950,NaN,"ms/op",41000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,26.908032,NaN,"ms/op",42000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,10.752611,NaN,"ms/op",43000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,13.429664,NaN,"ms/op",44000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,10.898914,NaN,"ms/op",45000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,10.683010,NaN,"ms/op",46000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,9.744192,NaN,"ms/op",47000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,11.330223,NaN,"ms/op",48000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,17.814750,NaN,"ms/op",49000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,9.398484,NaN,"ms/op",50000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,10.329903,NaN,"ms/op",51000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,10.174488,NaN,"ms/op",52000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,10.246990,NaN,"ms/op",53000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,11.432812,NaN,"ms/op",54000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,10.439793,NaN,"ms/op",55000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,10.316291,NaN,"ms/op",56000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,10.986703,NaN,"ms/op",57000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,11.671916,NaN,"ms/op",58000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,13.977659,NaN,"ms/op",59000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,10.873101,NaN,"ms/op",60000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,14.551369,NaN,"ms/op",61000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,11.982690,NaN,"ms/op",62000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,13.160810,NaN,"ms/op",63000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,14.416130,NaN,"ms/op",64000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,14.009523,NaN,"ms/op",65000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,17.495979,NaN,"ms/op",66000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,12.733844,NaN,"ms/op",67000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,13.943967,NaN,"ms/op",68000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,14.074170,NaN,"ms/op",69000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,13.674162,NaN,"ms/op",70000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,14.997292,NaN,"ms/op",71000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,13.757768,NaN,"ms/op",72000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,15.504703,NaN,"ms/op",73000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,16.836128,NaN,"ms/op",74000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,16.415820,NaN,"ms/op",75000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,16.047712,NaN,"ms/op",76000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,21.527620,NaN,"ms/op",77000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,16.734126,NaN,"ms/op",78000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,18.331057,NaN,"ms/op",79000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,16.031512,NaN,"ms/op",80000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,19.481053,NaN,"ms/op",81000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,16.534799,NaN,"ms/op",82000
"com.fiit.dsa.hashTable.test.ClosedHashTableTest.remove","ss",1,1,31.365667,NaN,"ms/op",83000
