"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"com.fiit.dsa.hashTable.test.OpenHashTableTest.put","ss",1,1,3.018789,NaN,"ms/op",100
"com.fiit.dsa.hashTable.test.OpenHashTableTest.put","ss",1,1,8.599968,NaN,"ms/op",1000
"com.fiit.dsa.hashTable.test.OpenHashTableTest.put","ss",1,1,56.504358,NaN,"ms/op",10000
"com.fiit.dsa.hashTable.test.OpenHashTableTest.put","ss",1,1,154.574638,NaN,"ms/op",50000
"com.fiit.dsa.hashTable.test.OpenHashTableTest.put","ss",1,1,283.809392,NaN,"ms/op",100000
"com.fiit.dsa.hashTable.test.OpenHashTableTest.put","ss",1,1,2066.894600,NaN,"ms/op",200000
"com.fiit.dsa.hashTable.test.OpenHashTableTest.put","ss",1,1,2598.021223,NaN,"ms/op",300000
"com.fiit.dsa.hashTable.test.OpenHashTableTest.put","ss",1,1,4829.231157,NaN,"ms/op",400000
"com.fiit.dsa.hashTable.test.OpenHashTableTest.put","ss",1,1,6519.182758,NaN,"ms/op",500000
"com.fiit.dsa.hashTable.test.OpenHashTableTest.put","ss",1,1,12570.166017,NaN,"ms/op",600000
"com.fiit.dsa.hashTable.test.OpenHashTableTest.put","ss",1,1,21385.362193,NaN,"ms/op",700000
"com.fiit.dsa.hashTable.test.OpenHashTableTest.put","ss",1,1,23119.455172,NaN,"ms/op",800000
"com.fiit.dsa.hashTable.test.OpenHashTableTest.put","ss",1,1,11341.392880,NaN,"ms/op",900000
"com.fiit.dsa.hashTable.test.OpenHashTableTest.put","ss",1,1,16022.358511,NaN,"ms/op",1000000
