"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,1.939042,NaN,"ms/op",5000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,1.408531,NaN,"ms/op",10000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,2.098846,NaN,"ms/op",15000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,5.610523,NaN,"ms/op",20000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,2.563656,NaN,"ms/op",25000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,54.161887,NaN,"ms/op",30000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,3.961887,NaN,"ms/op",35000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,6.034032,NaN,"ms/op",40000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,3.991988,NaN,"ms/op",45000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,3.701971,NaN,"ms/op",50000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,2.979057,NaN,"ms/op",55000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,3.279563,NaN,"ms/op",60000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,3.752271,NaN,"ms/op",65000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,5.701025,NaN,"ms/op",70000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,24.028626,NaN,"ms/op",75000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,22.061483,NaN,"ms/op",80000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,28.272319,NaN,"ms/op",85000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,3.877685,NaN,"ms/op",90000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,4.375196,NaN,"ms/op",95000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,6.749648,NaN,"ms/op",100000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,5.757226,NaN,"ms/op",105000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,4.899207,NaN,"ms/op",110000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,5.365918,NaN,"ms/op",115000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,5.405918,NaN,"ms/op",120000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,5.852028,NaN,"ms/op",125000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,6.553743,NaN,"ms/op",130000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,27.695005,NaN,"ms/op",135000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,43.129842,NaN,"ms/op",140000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,30.375963,NaN,"ms/op",145000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,30.178859,NaN,"ms/op",150000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,7.222458,NaN,"ms/op",155000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,6.749947,NaN,"ms/op",160000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,44.532872,NaN,"ms/op",165000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,36.157591,NaN,"ms/op",170000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,29.451045,NaN,"ms/op",175000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,31.668393,NaN,"ms/op",180000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,29.581447,NaN,"ms/op",185000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,46.288413,NaN,"ms/op",190000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,46.435016,NaN,"ms/op",195000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,51.101118,NaN,"ms/op",200000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,31.708093,NaN,"ms/op",205000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,42.882337,NaN,"ms/op",210000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,195.351971,NaN,"ms/op",215000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,57.617959,NaN,"ms/op",220000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,51.718130,NaN,"ms/op",225000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,545.209319,NaN,"ms/op",230000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,42.496629,NaN,"ms/op",235000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,39.830171,NaN,"ms/op",240000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,78.136009,NaN,"ms/op",245000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,60.650726,NaN,"ms/op",250000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,63.081979,NaN,"ms/op",255000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,63.658289,NaN,"ms/op",260000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,65.850737,NaN,"ms/op",265000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,69.955726,NaN,"ms/op",270000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,78.056204,NaN,"ms/op",275000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,493.909894,NaN,"ms/op",280000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,86.366587,NaN,"ms/op",285000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,60.609724,NaN,"ms/op",290000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,249.237847,NaN,"ms/op",295000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,56.453032,NaN,"ms/op",300000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,74.266620,NaN,"ms/op",305000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,64.638811,NaN,"ms/op",310000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,36.278491,NaN,"ms/op",315000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,51.583625,NaN,"ms/op",320000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,70.273132,NaN,"ms/op",325000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,97.309121,NaN,"ms/op",330000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,52.509846,NaN,"ms/op",335000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,51.359720,NaN,"ms/op",340000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,75.160441,NaN,"ms/op",345000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,77.238086,NaN,"ms/op",350000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,78.922216,NaN,"ms/op",355000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,69.014400,NaN,"ms/op",360000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,69.268206,NaN,"ms/op",365000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,74.424617,NaN,"ms/op",370000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,79.784240,NaN,"ms/op",375000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,13.949104,NaN,"ms/op",380000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,89.780959,NaN,"ms/op",385000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,92.000139,NaN,"ms/op",390000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,56.820936,NaN,"ms/op",395000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,59.436298,NaN,"ms/op",400000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,60.342317,NaN,"ms/op",405000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,66.975661,NaN,"ms/op",410000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,45.768599,NaN,"ms/op",415000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,52.031735,NaN,"ms/op",420000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,58.228170,NaN,"ms/op",425000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,115.089411,NaN,"ms/op",430000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,115.092611,NaN,"ms/op",435000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,126.573747,NaN,"ms/op",440000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,109.012265,NaN,"ms/op",445000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,103.497046,NaN,"ms/op",450000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,101.007601,NaN,"ms/op",455000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,95.137372,NaN,"ms/op",460000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,113.146364,NaN,"ms/op",465000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,86.179218,NaN,"ms/op",470000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,105.531003,NaN,"ms/op",475000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,99.198677,NaN,"ms/op",480000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,122.531168,NaN,"ms/op",485000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,84.387637,NaN,"ms/op",490000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,82.631097,NaN,"ms/op",495000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,110.041493,NaN,"ms/op",500000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,90.023758,NaN,"ms/op",505000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,86.109266,NaN,"ms/op",510000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,126.322936,NaN,"ms/op",515000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,82.793694,NaN,"ms/op",520000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,130.173325,NaN,"ms/op",525000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,114.125077,NaN,"ms/op",530000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,126.754147,NaN,"ms/op",535000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,127.871972,NaN,"ms/op",540000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,135.658940,NaN,"ms/op",545000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,144.943444,NaN,"ms/op",550000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,102.521223,NaN,"ms/op",555000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,128.014276,NaN,"ms/op",560000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,169.897885,NaN,"ms/op",565000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,128.575588,NaN,"ms/op",570000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,141.551260,NaN,"ms/op",575000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,110.997899,NaN,"ms/op",580000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,101.634098,NaN,"ms/op",585000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,103.343039,NaN,"ms/op",590000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,105.003374,NaN,"ms/op",595000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,97.933021,NaN,"ms/op",600000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,126.809446,NaN,"ms/op",605000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,130.751737,NaN,"ms/op",610000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,98.568039,NaN,"ms/op",615000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,114.916094,NaN,"ms/op",620000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,101.556803,NaN,"ms/op",625000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,120.995525,NaN,"ms/op",630000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,136.220339,NaN,"ms/op",635000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,106.772404,NaN,"ms/op",640000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,97.434878,NaN,"ms/op",645000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,160.272454,NaN,"ms/op",650000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,150.095842,NaN,"ms/op",655000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,147.008175,NaN,"ms/op",660000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,112.529334,NaN,"ms/op",665000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,146.103561,NaN,"ms/op",670000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,155.251459,NaN,"ms/op",675000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,146.242164,NaN,"ms/op",680000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,126.484132,NaN,"ms/op",685000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,154.415335,NaN,"ms/op",690000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,104.678765,NaN,"ms/op",695000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,153.998131,NaN,"ms/op",700000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_sorted","ss",1,1,130.179812,NaN,"ms/op",705000
