"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"com.fiit.dsa.tree.test.SplayTreeTest.insert_to_size","ss",1,1,0.013100,NaN,"ms/op",5000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_to_size","ss",1,1,0.018701,NaN,"ms/op",10000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_to_size","ss",1,1,0.033401,NaN,"ms/op",15000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_to_size","ss",1,1,0.020000,NaN,"ms/op",20000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_to_size","ss",1,1,0.021800,NaN,"ms/op",25000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_to_size","ss",1,1,0.015700,NaN,"ms/op",30000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_to_size","ss",1,1,0.023000,NaN,"ms/op",35000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_to_size","ss",1,1,0.022401,NaN,"ms/op",40000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_to_size","ss",1,1,0.019200,NaN,"ms/op",45000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_to_size","ss",1,1,0.031701,NaN,"ms/op",50000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_to_size","ss",1,1,0.031901,NaN,"ms/op",55000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_to_size","ss",1,1,0.023501,NaN,"ms/op",60000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_to_size","ss",1,1,0.027000,NaN,"ms/op",65000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_to_size","ss",1,1,0.027401,NaN,"ms/op",70000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_to_size","ss",1,1,0.023200,NaN,"ms/op",75000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_to_size","ss",1,1,0.024001,NaN,"ms/op",80000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_to_size","ss",1,1,0.020400,NaN,"ms/op",85000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_to_size","ss",1,1,0.043401,NaN,"ms/op",90000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_to_size","ss",1,1,0.058301,NaN,"ms/op",95000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_to_size","ss",1,1,0.044101,NaN,"ms/op",100000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_to_size","ss",1,1,0.022001,NaN,"ms/op",105000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_to_size","ss",1,1,0.015801,NaN,"ms/op",110000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_to_size","ss",1,1,0.020101,NaN,"ms/op",115000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_to_size","ss",1,1,0.018601,NaN,"ms/op",120000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_to_size","ss",1,1,0.017801,NaN,"ms/op",125000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_to_size","ss",1,1,0.023601,NaN,"ms/op",130000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_to_size","ss",1,1,0.028101,NaN,"ms/op",135000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_to_size","ss",1,1,0.029001,NaN,"ms/op",140000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_to_size","ss",1,1,0.021701,NaN,"ms/op",145000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_to_size","ss",1,1,0.029300,NaN,"ms/op",150000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_to_size","ss",1,1,0.028401,NaN,"ms/op",155000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_to_size","ss",1,1,0.028200,NaN,"ms/op",160000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_to_size","ss",1,1,0.034201,NaN,"ms/op",165000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_to_size","ss",1,1,0.027500,NaN,"ms/op",170000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_to_size","ss",1,1,0.027301,NaN,"ms/op",175000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_to_size","ss",1,1,0.024501,NaN,"ms/op",180000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_to_size","ss",1,1,0.031801,NaN,"ms/op",185000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_to_size","ss",1,1,0.033801,NaN,"ms/op",190000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_to_size","ss",1,1,0.027500,NaN,"ms/op",195000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_to_size","ss",1,1,0.027300,NaN,"ms/op",200000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_to_size","ss",1,1,0.031101,NaN,"ms/op",205000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_to_size","ss",1,1,0.031401,NaN,"ms/op",210000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_to_size","ss",1,1,0.025700,NaN,"ms/op",215000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_to_size","ss",1,1,0.027900,NaN,"ms/op",220000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_to_size","ss",1,1,0.029601,NaN,"ms/op",225000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_to_size","ss",1,1,0.026001,NaN,"ms/op",230000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_to_size","ss",1,1,0.031301,NaN,"ms/op",235000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_to_size","ss",1,1,0.027100,NaN,"ms/op",240000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_to_size","ss",1,1,0.028100,NaN,"ms/op",245000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_to_size","ss",1,1,0.027601,NaN,"ms/op",250000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_to_size","ss",1,1,0.029201,NaN,"ms/op",255000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_to_size","ss",1,1,0.026701,NaN,"ms/op",260000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_to_size","ss",1,1,0.026601,NaN,"ms/op",265000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_to_size","ss",1,1,0.029200,NaN,"ms/op",270000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_to_size","ss",1,1,0.034101,NaN,"ms/op",275000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_to_size","ss",1,1,0.030300,NaN,"ms/op",280000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_to_size","ss",1,1,0.024001,NaN,"ms/op",285000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_to_size","ss",1,1,0.024600,NaN,"ms/op",290000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_to_size","ss",1,1,0.028900,NaN,"ms/op",295000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_to_size","ss",1,1,0.026900,NaN,"ms/op",300000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_to_size","ss",1,1,0.029900,NaN,"ms/op",305000
"com.fiit.dsa.tree.test.SplayTreeTest.insert_to_size","ss",1,1,0.026900,NaN,"ms/op",310000
