"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,12.132563,NaN,"ms/op",5000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,17.020268,NaN,"ms/op",10000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,38.226627,NaN,"ms/op",15000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,38.704237,NaN,"ms/op",20000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,44.073553,NaN,"ms/op",25000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,110.826296,NaN,"ms/op",30000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,65.893225,NaN,"ms/op",35000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,67.648462,NaN,"ms/op",40000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,110.076725,NaN,"ms/op",45000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,110.891442,NaN,"ms/op",50000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,47.990113,NaN,"ms/op",55000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,75.742800,NaN,"ms/op",60000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,68.043737,NaN,"ms/op",65000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,69.617871,NaN,"ms/op",70000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,72.632034,NaN,"ms/op",75000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,80.760606,NaN,"ms/op",80000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,121.539240,NaN,"ms/op",85000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,153.998244,NaN,"ms/op",90000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,151.321887,NaN,"ms/op",95000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,143.921226,NaN,"ms/op",100000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,159.749469,NaN,"ms/op",105000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,157.023510,NaN,"ms/op",110000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,158.203906,NaN,"ms/op",115000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,151.059352,NaN,"ms/op",120000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,154.637229,NaN,"ms/op",125000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,164.344438,NaN,"ms/op",130000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,165.456962,NaN,"ms/op",135000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,166.420083,NaN,"ms/op",140000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,172.188029,NaN,"ms/op",145000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,198.618602,NaN,"ms/op",150000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,252.215962,NaN,"ms/op",155000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,342.926827,NaN,"ms/op",160000
"com.fiit.dsa.tree.test.SplayTreeTest.search","ss",1,1,335.452065,NaN,"ms/op",165000
